PARID,lon,lat,USEDESC
0764B00296000000,-79.89129773,40.30581767,SINGLE FAMILY
0246E00254000000,-79.96594177,40.36229396,SINGLE FAMILY
0275M00049000000,-80.10075888,40.51354443,SINGLE FAMILY
0052H00074000000,-79.93337378,40.44985344,SINGLE FAMILY
0042R00314000000,-80.05378259,40.45436248,VACANT LAND
0380M00118000000,-79.83498059,40.3489828,SINGLE FAMILY
0166H00132000000,-79.95162897,40.49824572,SINGLE FAMILY
0464S00274000000,-79.83356266,40.32778798,SINGLE FAMILY
1520E00055000000,-79.71625172,40.62286001,VACANT COMMERCIAL LAND
1240B00181000000,-79.70991566,40.47070779,SINGLE FAMILY
