USEDESC,Category
>10 ACRES VACANT,site
AIR RIGHTS,none
APART: 5-19 UNITS,site
APART:20-39 UNITS,site
APART:40+ UNITS,site
AUTO SALES & SERVICE,destination
AUTO SERV STATION,destination
BANK,destination
BARS,destination
BED & BREAKFAST,destination
BIG BOX RETAIL,destination
BOWLING ALLEYS/REC FACILITY,destination
BUILDERS LOT,site
BULK TRANSFER TERMINAL,disamenity
CAMPGROUNDS,site
CAR WASH,destination
CASINO,destination
CEMETERY/MONUMENTS,destination
CHARITABLE EXEMPTION/HOS/HOMES,site
"CHURCHES, PUBLIC WORSHIP",destination
"COAL LAND, SURFACE RIGHTS",disamenity
COAL RIGHTS SEP. ROYALTY INTEREST,disamenity
"COAL RIGHTS, WORKING INTERESTS",disamenity
COM SKELETON RECORD,none
COMM APRTM CONDOS 20-39 UNITS,site
COMM APRTM CONDOS 40+ UNITS,site
COMM APRTM CONDOS 5-19 UNITS,site
COMM AUX BUILDING,site
COMMERCIAL GARAGE,destination
COMMERCIAL LAND,site
COMMERCIAL TRUCK TERMINAL,disamenity
COMMERCIAL/UTILITY,site
COMMON AREA,site
COMMON AREA OR GREENBELT,site
COMMUNITY REINVESTMENT,site
COMMUNITY SHOPPING CENTER,destination
COMMUNITY URBAN RENEWAL,site
CONDEMNED/BOARDED-UP,site
CONDO DEVELOPMENTAL LAND,site
CONDO GARAGE UNITS,site
CONDOMINIUM,site
CONDOMINIUM COMMON PROPERTY,site
CONDOMINIUM OFFICE BUILDING,site
CONDOMINIUM UNIT,site
CONVENIENCE STORE,destination
CONVENIENCE STORE GAS/REPAIRS,destination
CONVENIENCE STORE/GAS,destination
COUNTRY CLUBS,destination
COUNTY GOVERNMENT,destination
DAIRY FARM,none
DAYCARE/PRIVATE SCHOOL,destination
DEPARTMENT STORE,destination
DISCOUNT STORE,destination
DISTRIBUTION WAREHOUSE,none
DRIVE IN REST OR FOOD SERVICE,destination
DRY CLEANING PLANTS/LAUNDRIES,destination
DWG APT CONVERSION,site
DWG USED AS OFFICE,site
DWG USED AS RETAIL,site
FAST FOOD/DRIVE THRU WINDOW,destination
FEDERAL GOVERNMENT,none
FIRE DEPARTMENT/EMS,none
FOOD & DRINK PROCESSING,disamenity
FORESTRY W/BUILDINGS,destination
FORESTRY WITH BUILDING,destination
FOUR FAMILY,site
FUNERAL HOMES,destination
GAS STATION KIOSK,destination
GENERAL FARM,destination
GOLF COURSES (PUBLIC),destination
GOLF DRIVING RANGE/MINIATURE,destination
"GREENHOUSES, VEG & FLORACULTURE",destination
GROUP HOME,site
H.O.A RECREATIONS AREA,site
HEAVY EQUIPMENT SALES/RENTAL,destination
HEAVY MANUFACTURING,disamenity
HOTELS,destination
HUD PROJ #202,site
HUD PROJ #207/223,site
HUD PROJ #213,site
HUD PROJ #221,site
HUD PROJ #223,site
HUD PROJ #232,site
HUD PROJ #236,site
INCOME PRODUCING PARKING LOT,site
INDEPENDENT LIVING (SENIORS),site
INDUSTRIAL LAND,disamenity
INDUSTRIAL TRUCK TERM,disamenity
INDUSTRIAL/UTILITY,disamenity
LIGHT MANUFACTURING,destination
LIVE STOCK FARM,destination
LIVESTOCK O/T D & P-CAUV,destination
LODGE HALL/AMUSEMENT PARK,destination
MARINA,destination
MARINE SERV FACILITY,destination
MEDICAL CLINICS/OFFICES,destination
MEDIUM MANUFACTURING,destination
MINERAL LAND,disamenity
MINES AND QUARRIES,disamenity
MINI WAREHOUSE,destination
MINOR FIRE DAMAGE,site
MINOR FIRE DAMAGE - COMM,site
MOBILE HOME,site
MOBILE HOME (IN PARK),site
MOBILE HOMES/TRAILER PKS,site
MOTEL & TOURIST CABINS,destination
MUNICIPAL GOVERNMENT,destination
MUNICIPAL IMPROVEMENT,site
MUNICIPAL URBAN RENEWAL,site
NA,site
NEIGH SHOP CENTER,destination
NURSERY,destination
NURSING HOME/PRIVATE HOS,destination
OFFICE - 1-2 STORIES,destination
OFFICE/APARTMENTS OVER,site
OFFICE/RETAIL OVER,destination
OFFICE/STORAGE OVER,destination
OFFICE/WAREHOUSE,destination
OFFICE-ELEVATOR -3 + STORIES,destination
OFFICE-WALKUP -3 + STORIES,destination
OIL & GAS RIGHTS WORKING INTEREST,disamenity
OTHER,site
OTHER AGRICULTURAL - CAUV,destination
OTHER COMMERCIAL,site
OTHER COMMERCIAL HOUSING,site
OTHER FOOD SERVICE,destination
OTHER MINERALS,disamenity
OTHER RESIDENTIAL STRUCTURE,site
OTHER RETAIL STRUCTURES,destination
OWNED BY BOARD OF EDUCATION,destination
OWNED BY COLLEGE/UNIV/ACADEMY,destination
OWNED BY METRO HOUSING AU,site
P.P. - P.U. - OTHER THAN R.R.,disamenity
PARKING GARAGE/LOTS,site
PHARMACY (CHAIN),destination
POULTRY FARM,disamenity
PUBLIC PARK,destination
R.R. - NOT USED IN OPERATION,none
R.R. - USED IN OPERATION,none
RECYCLING/SCRAP YARDS,disamenity
REGIONAL SHOPPING CENTER,destination
RES AUX BUILDING (NO HOUSE),site
RESIDENTIAL VACANT LAND,site
"RESTAURANT, CAFET AND/OR BAR",destination
RETENTION POND - COMMERCIAL,none
RETENTION POND - RESIDENTIAL,none
RETL/APT'S OVER,site
RETL/OFF OVER,destination
RETL/STOR OVER,destination
RIGHT OF WAY - COMMERCIAL,site
RIGHT OF WAY - RESIDENTIAL,site
ROWHOUSE,site
RR-PP - USED IN OPERATION,none
SAVINGS AND LOANS,destination
SINGLE FAMILY,site
SMALL DETACHED RET(UNDER 10000),destination
SMALL SHOP,destination
STATE GOVERNMENT,destination
SUPERMARKETS,destination
THEATER,destination
THREE FAMILY,site
TIMBER OR FOREST LAND,destination
TOTAL/MAJOR FIRE DAMAGE,site
TOTAL/MAJOR FIRE DAMAGE - COMM,site
TOWNHOUSE,site
TOWNSHIP GOVERNMENT,destination
TWO FAMILY,site
UNLOCATED PARCEL,
VACANT COMMERCIAL LAND,site
VACANT INDUSTRIAL LAND,disamenity
VACANT LAND,site
VACANT LAND 0-9 ACRES,site
VEGETABLE FARM,destination
WAREHOUSE,destination
WAREHOUSE/MULTI-TENANT,destination
