image_id,built_score,paved_score,auto_score,sky_score,nature_score,human_score,latitude,longitude,road_score,sidewalk_score,building_score,wall_score,fence_score,pole_score,traffic_light_score,traffic_sign_score,vegetation_score,terrain_score,sky_score,person_score,rider_score,car_score,truck_score,bus_score,train_score,motorcycle_score,bicycle_score,void_score
0,45.06111111111111,14.526736111111113,6.481249999999999,13.229861111111111,13.92326388888889,0.134375,40.30581767,-79.89129773,6.476041666666667,8.050694444444446,44.89756944444444,0.16354166666666667,6.373958333333333,0.03888888888888889,0.0,0.2232638888888889,1.8781249999999998,12.04513888888889,13.229861111111111,0.134375,0.0,5.257638888888889,1.2229166666666667,0.0,0.0,0.0006944444444444445,0.007291666666666668,0.0
1,9.122916666666669,42.85243055555555,0.703125,16.58611111111111,28.984027777777776,0.030208333333333334,40.36229396,-79.96594177,41.04270833333333,1.8097222222222222,9.117708333333335,0.005208333333333334,0.03854166666666667,1.6579861111111112,0.0,0.02465277777777778,28.275,0.7090277777777778,16.58611111111111,0.030208333333333334,0.0,0.703125,0.0,0.0,0.0,0.0,0.0,0.0
2,19.247916666666665,14.794097222222222,18.028472222222224,18.78333333333333,28.22361111111111,0.0,40.51354443,-80.10075888,7.1871527777777775,7.606944444444444,19.203125,0.04479166666666667,0.8913194444444444,0.03125,0.0,0.0,27.60625,0.6173611111111111,18.78333333333333,0.0,0.0,18.024305555555557,0.0,0.0,0.0,0.004166666666666667,0.0,0.0
3,62.89791666666667,16.696180555555557,0.09375,0.2472222222222222,16.476041666666667,0.02395833333333333,40.44985344,-79.93337378,12.469791666666667,4.226388888888889,60.21388888888889,2.6840277777777777,0.5819444444444445,2.240972222222222,0.0,0.7243055555555555,16.38576388888889,0.09027777777777778,0.2472222222222222,0.02395833333333333,0.0,0.09097222222222222,0.00034722222222222224,0.0,0.0,0.0024305555555555556,0.017708333333333333,0.0
4,13.679166666666667,48.77152777777777,2.0232638888888888,17.899305555555557,17.379166666666666,0.1684027777777778,40.45436248,-80.05378259,47.56527777777777,1.20625,12.020138888888889,1.6590277777777778,0.05,0.0045138888888888885,0.0,0.015277777777777777,16.686805555555555,0.6923611111111111,17.899305555555557,0.1684027777777778,0.0,1.976736111111111,0.04548611111111111,0.0,0.0,0.0010416666666666667,0.009375,0.0
5,22.658680555555556,0.7361111111111112,0.040625,32.227777777777774,42.17465277777778,0.0,40.3489828,-79.83498059,0.4461805555555556,0.2899305555555556,22.63888888888889,0.019791666666666666,2.138888888888889,0.02013888888888889,0.0,0.003125,38.31041666666667,3.8642361111111114,32.227777777777774,0.0,0.0,0.040625,0.0,0.0,0.0,0.0,0.0,0.0
6,1.7222222222222223,13.440277777777778,0.06874999999999999,2.808333333333333,80.946875,0.00034722222222222224,40.49824572,-79.95162897,13.43888888888889,0.001388888888888889,1.7204861111111112,0.001736111111111111,0.9927083333333333,0.0024305555555555556,0.0,0.017708333333333333,76.87013888888889,4.076736111111111,2.808333333333333,0.00034722222222222224,0.0,0.06874999999999999,0.0,0.0,0.0,0.0,0.00034722222222222224,0.0
7,9.725694444444443,36.728125000000006,1.953125,0.03888888888888889,51.06493055555555,0.019444444444444445,40.32778798,-79.83356266,32.189236111111114,4.538888888888889,9.659722222222221,0.06597222222222222,0.2173611111111111,0.22638888888888892,0.0,0.0,42.63055555555555,8.434375,0.03888888888888889,0.003472222222222222,0.015972222222222224,1.7260416666666667,0.0010416666666666667,0.0,0.0,0.22604166666666667,0.026041666666666668,0.0
8,0.009027777777777777,7.25625,1.1996527777777777,0.0,91.53472222222221,0.0,40.62286001,-79.71625172,3.5937499999999996,3.6624999999999996,0.009027777777777777,0.0,0.0,0.00034722222222222224,0.0,0.0,91.53472222222221,0.0,0.0,0.0,0.0,1.1996527777777777,0.0,0.0,0.0,0.0,0.0,0.0
9,4.200694444444444,50.80972222222222,2.54375,10.462847222222223,30.404166666666665,0.19375,40.47070779,-79.70991566,49.830555555555556,0.9791666666666667,4.188194444444444,0.0125,1.0743055555555556,0.26180555555555557,0.0,0.00034722222222222224,30.35833333333333,0.04583333333333333,10.462847222222223,0.19375,0.0,2.39375,0.1486111111111111,0.001388888888888889,0.0,0.0,0.04861111111111111,0.0
